Dependency metrics,sexta, 7 nov. 2025 11:40:11 WET
Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*,PDcy,PDpt
mindustry.game.Objectives.Produce,909,2,1 151,3,1 076,2,2
mindustry.game.Objectives.Research,909,3,1 151,5,1 076,3,2
mindustry.game.Objectives.SectorComplete,909,4,1 151,6,1 076,3,3
mindustry.game.Rules,909,19,1 151,171,1 076,9,45
mindustry.game.Rules.TeamRule,0,0,0,16,1 077,0,8
mindustry.game.Rules.TeamRules,909,3,1 151,4,1 076,1,2
mindustry.game.Saves,909,15,1 151,14,1 076,6,7
mindustry.game.Saves.SaveSlot,909,16,1 151,12,1 076,9,6
mindustry.game.Schematic,909,11,1 151,21,1 076,8,9
mindustry.game.Schematic.Stile,909,2,1 151,7,1 076,2,4
mindustry.game.Schematics,909,43,1 151,21,1 076,17,10
mindustry.game.SectorInfo,909,30,1 151,20,1 076,14,12
mindustry.game.SectorInfo.ExportStat,909,1,1 151,4,1 076,1,3
mindustry.game.SpawnGroup,909,10,1 151,15,1 076,7,11
mindustry.game.Team,909,13,1 151,156,1 076,7,41
mindustry.game.Teams,909,10,1 151,28,1 076,6,18
mindustry.game.Teams.BlockPlan,909,1,1 151,12,1 076,1,10
mindustry.game.Teams.TeamData,909,16,1 151,37,1 076,9,18
mindustry.game.Universe,909,26,1 151,10,1 076,11,6
mindustry.game.Waves,909,7,1 151,7,1 076,3,6
mindustry.graphics.BlockRenderer,909,30,1 151,9,1 076,10,6
mindustry.graphics.BlockRenderer.BlockLightQuadtree,909,2,1 151,1,1 076,1,1
mindustry.graphics.BlockRenderer.BlockQuadtree,909,2,1 151,1,1 076,1,1
mindustry.graphics.BlockRenderer.FloorQuadtree,909,3,1 151,1,1 076,2,1
mindustry.graphics.CacheLayer,909,3,1 151,13,1 076,1,8
mindustry.graphics.CacheLayer.ShaderLayer,909,5,1 151,1,1 076,3,1
mindustry.graphics.CubemapMesh,0,1,1,1,1 077,0,1
mindustry.graphics.DebugCollisionRenderer,909,5,1 151,1,1 076,5,1
mindustry.graphics.Drawf,909,12,1 151,114,1 076,5,24
mindustry.graphics.EnvRenderers,909,9,1 151,1,1 076,6,1
mindustry.graphics.FloorRenderer,909,10,1 151,7,1 076,6,4
mindustry.graphics.FloorRenderer.ChunkMesh,0,0,0,1,1 077,0,1
mindustry.graphics.FloorRenderer.FloorRenderBatch,909,2,1 151,1,1 076,1,1
mindustry.graphics.FogRenderer,909,13,1 151,3,1 076,7,3
mindustry.graphics.GpuDetect,0,0,0,2,2,0,2
mindustry.graphics.InverseKinematics,0,0,0,1,1,0,1
mindustry.graphics.Layer,0,0,0,96,1 078,0,26
mindustry.graphics.LightRenderer,909,8,1 151,3,1 076,4,2
mindustry.graphics.LightRenderer.CircleLight,0,0,0,1,1 077,0,1
mindustry.graphics.LoadRenderer,0,11,1 153,1,2,6,1
mindustry.graphics.LoadRenderer.Bar,0,0,0,1,3,0,1
mindustry.graphics.MenuRenderer,909,11,1 151,1,1 076,7,1
mindustry.graphics.MinimapRenderer,909,28,1 151,10,1 076,12,9
mindustry.graphics.MultiPacker,909,3,1 151,10,1 076,2,6
mindustry.graphics.MultiPacker.PageType,0,0,0,11,1 077,0,7
mindustry.graphics.NvGpuInfo,0,0,0,1,2,0,1
mindustry.graphics.OverlayRenderer,909,26,1 151,2,1 076,11,2
mindustry.graphics.OverlayRenderer.CoreEdge,909,2,1 151,1,1 076,2,1
mindustry.graphics.Pal,0,0,0,181,1 084,0,41
mindustry.graphics.ParticleRenderer,0,3,1 152,0,0,2,0
mindustry.graphics.Pixelator,909,4,1 151,1,1 076,3,1
mindustry.graphics.Shaders,909,19,1 151,25,1 076,3,12
mindustry.graphics.Shaders.AtmosphereShader,909,2,1 151,2,1 076,2,2
mindustry.graphics.Shaders.BlockBuildShader,909,1,1 151,5,1 076,1,5
mindustry.graphics.Shaders.BuildBeamShader,909,1,1 151,1,1 076,1,1
mindustry.graphics.Shaders.CloudShader,909,5,1 151,2,1 076,5,2
mindustry.graphics.Shaders.DarknessShader,909,1,1 151,1,1 076,1,1
mindustry.graphics.Shaders.FogShader,909,1,1 151,1,1 076,1,1
mindustry.graphics.Shaders.LightShader,909,1,1 151,2,1 076,1,1
mindustry.graphics.Shaders.LoadShader,909,1,1 151,15,1 076,1,1
mindustry.graphics.Shaders.MeshShader,909,1,1 151,1,1 076,1,1
mindustry.graphics.Shaders.PlanetGridShader,909,1,1 151,2,1 076,1,2
mindustry.graphics.Shaders.PlanetShader,909,5,1 151,2,1 076,5,2
mindustry.graphics.Shaders.ShieldShader,909,1,1 151,1,1 076,1,1
mindustry.graphics.Shaders.ShockwaveShader,909,4,1 151,1,1 076,4,1
mindustry.graphics.Shaders.SpaceShader,909,3,1 151,1,1 076,3,1
mindustry.graphics.Shaders.SurfaceShader,909,3,1 151,2,1 076,3,1
mindustry.graphics.Shaders.UnitArmorShader,909,1,1 151,2,1 076,1,2
mindustry.graphics.Shaders.UnitBuildShader,909,1,1 151,2,1 076,1,1
mindustry.graphics.Trail,0,0,0,7,1 077,0,4
mindustry.graphics.Voronoi,0,5,5,1,1 077,1,1
mindustry.graphics.Voronoi.Edge,0,1,1,2,1 079,1,1
mindustry.graphics.Voronoi.GraphEdge,0,0,0,2,1 078,0,1
mindustry.graphics.Voronoi.Halfedge,0,2,2,1,1 078,1,1
mindustry.graphics.Voronoi.Site,0,0,0,3,1 080,0,1
mindustry.graphics.g3d.HexMesh,909,7,1 151,3,1 076,3,2
mindustry.graphics.g3d.HexSkyMesh,909,6,1 151,2,1 076,3,2
mindustry.graphics.g3d.MatMesh,909,2,1 151,2,1 076,1,2
mindustry.graphics.g3d.MeshBuilder,909,6,1 151,7,1 076,2,3
mindustry.graphics.g3d.MultiMesh,909,2,1 151,2,1 076,1,2
mindustry.graphics.g3d.NoiseMesh,909,5,1 151,2,1 076,3,2
mindustry.graphics.g3d.PlanetGrid,0,4,4,3,1 077,1,3
mindustry.graphics.g3d.PlanetGrid.Corner,2,2,2,6,1 080,1,2
mindustry.graphics.g3d.PlanetGrid.Edge,2,2,2,3,1 080,1,1
mindustry.graphics.g3d.PlanetGrid.Ptile,2,2,2,13,1 080,1,8
mindustry.graphics.g3d.PlanetMesh,909,3,1 151,4,1 076,2,1
mindustry.graphics.g3d.PlanetParams,909,3,1 151,14,1 076,3,7
mindustry.graphics.g3d.PlanetRenderer,909,8,1 151,5,1 076,4,4
mindustry.graphics.g3d.ShaderSphereMesh,909,3,1 151,2,1 076,2,2
mindustry.graphics.g3d.SunMesh,909,4,1 151,2,1 076,3,2
mindustry.input.Binding,909,1,1 151,19,1 076,1,8
mindustry.input.DesktopInput,909,31,1 151,2,1 076,11,2
mindustry.input.InputHandler,909,77,1 151,31,1 076,24,16
mindustry.input.InputHandler.PlaceLine,0,0,0,1,1 077,0,1
mindustry.input.MobileInput,909,29,1 151,3,1 076,14,3
mindustry.input.PlaceMode,0,0,0,2,1 077,0,1
mindustry.input.Placement,909,15,1 151,10,1 076,8,5
mindustry.input.Placement.NormalizeDrawResult,0,0,0,2,1 077,0,1
mindustry.input.Placement.NormalizeResult,0,0,0,3,1 077,0,2
mindustry.io.JsonIO,909,29,1 151,27,1 076,11,12
mindustry.io.JsonIO.CustomJson,909,1,1 151,1,1 076,1,1
mindustry.io.MapIO,909,19,1 151,6,1 076,9,4
mindustry.io.SaveFileReader,909,3,1 151,11,1 076,2,6
mindustry.io.SaveIO,909,21,1 151,13,1 076,6,10
mindustry.io.SaveIO.SaveException,0,0,0,4,1 077,0,4
mindustry.io.SaveMeta,909,5,1 151,9,1 076,4,5
mindustry.io.SavePreviewLoader,0,0,0,1,1 077,0,1
mindustry.io.SaveVersion,909,45,1 151,11,1 076,14,6
mindustry.io.TypeIO,909,47,1 151,13,1 076,18,11
mindustry.io.TypeIO.BuildingBox,909,3,1 151,1,1 076,3,1
mindustry.io.TypeIO.UnitBox,0,1,1,1,1 077,1,1
mindustry.io.versions.LegacyIO,909,1,1 151,2,1 076,1,2
mindustry.io.versions.LegacyRegionSaveVersion,909,7,1 151,3,1 076,5,1
mindustry.io.versions.LegacySaveVersion,909,11,1 151,3,1 076,8,1
mindustry.io.versions.LegacySaveVersion2,909,3,1 151,2,1 076,2,1
mindustry.io.versions.Save1,909,1,1 151,1,1 076,1,1
mindustry.io.versions.Save10,909,1,1 151,1,1 076,1,1
mindustry.io.versions.Save2,909,1,1 151,1,1 076,1,1
mindustry.io.versions.Save3,909,6,1 151,1,1 076,4,1
mindustry.io.versions.Save4,909,2,1 151,1,1 076,2,1
mindustry.io.versions.Save5,909,1,1 151,1,1 076,1,1
mindustry.io.versions.Save6,909,1,1 151,1,1 076,1,1
mindustry.io.versions.Save7,909,1,1 151,1,1 076,1,1
mindustry.io.versions.Save8,909,1,1 151,1,1 076,1,1
mindustry.io.versions.Save9,909,1,1 151,1,1 076,1,1
mindustry.io.versions.ShortChunkSaveVersion,909,11,1 151,4,1 076,7,1
mindustry.logic.ConditionOp,909,3,1 151,4,1 076,1,1
mindustry.logic.CutsceneAction,0,0,0,2,2,0,1
mindustry.logic.FetchType,0,0,0,2,2,0,1
mindustry.logic.GlobalVars,909,21,1 151,18,1 076,9,8
mindustry.logic.GlobalVars.VarEntry,0,0,0,2,1 077,0,1
mindustry.logic.GlobalVarsDialog,909,6,1 151,1,1 076,5,1
mindustry.logic.LAccess,0,1,1,54,1 077,0,17
mindustry.logic.LAssembler,909,6,1 151,57,1 076,2,3
mindustry.logic.LCanvas,909,8,1 151,12,1 076,3,1
mindustry.logic.LCanvas.DragLayout,909,3,1 151,4,1 076,1,1
mindustry.logic.LCanvas.JumpButton,909,5,1 151,2,1 076,2,1
mindustry.logic.LCanvas.JumpCurve,909,4,1 151,3,1 076,1,1
mindustry.logic.LCanvas.StatementElem,909,6,1 151,6,1 076,2,1
mindustry.logic.LCategory,0,1,1,52,1 077,1,1
mindustry.logic.LExecutor,909,20,1 151,61,1 076,8,3
mindustry.logic.LExecutor.ApplyEffectI,0,6,1 152,1,1,4,1
mindustry.logic.LExecutor.ClientDataI,0,3,1 152,1,1,1,1
mindustry.logic.LExecutor.ControlI,0,5,1 152,1,1,2,1
mindustry.logic.LExecutor.CutsceneI,0,8,1 153,1,1,4,1
mindustry.logic.LExecutor.DrawFlushI,0,5,1 152,1,1,3,1
mindustry.logic.LExecutor.DrawI,0,8,1 152,1,1,5,1
mindustry.logic.LExecutor.EffectI,0,6,1 152,1,1,3,1
mindustry.logic.LExecutor.EndI,0,4,1 152,1,1,1,1
mindustry.logic.LExecutor.ExplosionI,0,7,1 152,1,1,5,1
mindustry.logic.LExecutor.FetchI,0,8,1 153,1,1,4,1
mindustry.logic.LExecutor.FlushMessageI,0,10,1 153,1,1,5,1
mindustry.logic.LExecutor.FormatI,0,4,1 152,1,1,1,1
mindustry.logic.LExecutor.GetBlockI,0,7,1 153,1,1,4,1
mindustry.logic.LExecutor.GetFlagI,0,6,1 152,1,1,4,1
mindustry.logic.LExecutor.GetLinkI,0,4,1 152,1,1,1,1
mindustry.logic.LExecutor.JumpI,909,4,1 151,1,1 076,1,1
mindustry.logic.LExecutor.LocalePrintI,0,7,1 152,1,1,4,1
mindustry.logic.LExecutor.LookupI,0,6,1 152,1,1,3,1
mindustry.logic.LExecutor.MakeMarkerI,0,9,1 152,1,1,4,1
mindustry.logic.LExecutor.NoopI,909,2,1 151,1,1 076,1,1
mindustry.logic.LExecutor.OpI,0,7,1 156,1,1,1,1
mindustry.logic.LExecutor.PackColorI,0,3,1 152,1,1,1,1
mindustry.logic.LExecutor.PlaySoundI,0,4,1 152,1,1,2,1
mindustry.logic.LExecutor.PrintCharI,0,4,1 152,1,1,2,1
mindustry.logic.LExecutor.PrintFlushI,0,4,1 152,1,1,2,1
mindustry.logic.LExecutor.PrintI,909,6,1 151,5,1 076,3,1
mindustry.logic.LExecutor.RadarI,0,16,1 157,2,2,6,1
mindustry.logic.LExecutor.ReadI,0,4,1 152,1,1,1,1
mindustry.logic.LExecutor.SelectI,0,4,1 152,1,1,1,1
mindustry.logic.LExecutor.SenseI,0,6,1 152,1,1,2,1
mindustry.logic.LExecutor.SenseWeatherI,0,4,1 152,1,1,2,1
mindustry.logic.LExecutor.SetBlockI,0,13,1 153,1,1,8,1
mindustry.logic.LExecutor.SetFlagI,0,6,1 152,1,1,4,1
mindustry.logic.LExecutor.SetI,0,3,1 152,1,1,1,1
mindustry.logic.LExecutor.SetMarkerI,0,9,1 152,1,1,4,1
mindustry.logic.LExecutor.SetPropI,0,6,1 153,1,1,2,1
mindustry.logic.LExecutor.SetRateI,0,5,1 152,1,1,2,1
mindustry.logic.LExecutor.SetRuleI,0,14,1 153,1,1,7,1
mindustry.logic.LExecutor.SetWeatherI,0,4,1 152,1,1,2,1
mindustry.logic.LExecutor.SpawnUnitI,0,10,1 152,1,1,8,1
mindustry.logic.LExecutor.SpawnWaveI,0,11,1 152,1,1,6,1
mindustry.logic.LExecutor.StopI,0,3,1 152,1,1,1,1
mindustry.logic.LExecutor.SyncI,0,3,1 152,1,1,1,1
mindustry.logic.LExecutor.UnitBindI,0,10,1 152,1,1,6,1
mindustry.logic.LExecutor.UnitControlI,0,20,1 152,3,6,14,1
mindustry.logic.LExecutor.UnitLocateI,0,15,1 155,1,1,9,1
mindustry.logic.LExecutor.UnitLocateI.Cache,0,0,0,1,2,0,1
mindustry.logic.LExecutor.UnpackColorI,0,3,1 152,1,1,1,1
mindustry.logic.LExecutor.WaitI,0,3,1 152,1,1,1,1
mindustry.logic.LExecutor.WriteI,0,4,1 152,1,1,1,1
mindustry.logic.LLocate,0,0,0,2,2,0,1
mindustry.logic.LMarkerControl,0,0,0,14,1 077,0,3
mindustry.logic.LParser,909,7,1 151,1,1 076,1,1
mindustry.logic.LParser.JumpIndex,909,1,1 151,1,1 076,1,1
mindustry.logic.LStatement,909,10,1 151,57,1 076,6,2
mindustry.logic.LStatements,0,0,0,0,0,0,0
mindustry.logic.LStatements.ApplyStatusStatement,0,10,1 153,0,0,6,0
mindustry.logic.LStatements.ClientDataStatement,0,8,1 153,0,0,4,0
mindustry.logic.LStatements.CommentStatement,0,4,1 152,0,0,2,0
mindustry.logic.LStatements.ControlStatement,0,8,1 153,0,0,2,0
mindustry.logic.LStatements.CutsceneStatement,0,7,1 154,0,0,2,0
mindustry.logic.LStatements.DrawFlushStatement,0,5,1 153,0,0,1,0
mindustry.logic.LStatements.DrawStatement,0,7,1 153,0,0,3,0
mindustry.logic.LStatements.EffectStatement,0,11,1 153,0,0,5,0
mindustry.logic.LStatements.EndStatement,0,5,1 153,0,0,1,0
mindustry.logic.LStatements.ExplosionStatement,0,5,1 153,0,0,1,0
mindustry.logic.LStatements.FetchStatement,0,7,1 154,0,0,2,0
mindustry.logic.LStatements.FlushMessageStatement,0,7,1 154,0,0,2,0
mindustry.logic.LStatements.FormatStatement,0,5,1 153,0,0,1,0
mindustry.logic.LStatements.GetBlockStatement,0,7,1 154,0,0,2,0
mindustry.logic.LStatements.GetFlagStatement,0,6,1 153,0,0,1,0
mindustry.logic.LStatements.GetLinkStatement,0,5,1 153,0,0,1,0
mindustry.logic.LStatements.InvalidStatement,909,4,1 151,2,1 076,1,1
mindustry.logic.LStatements.JumpStatement,909,9,1 151,4,1 076,2,1
mindustry.logic.LStatements.LocalePrintStatement,0,5,1 153,0,0,1,0
mindustry.logic.LStatements.LookupStatement,0,8,1 153,0,0,3,0
mindustry.logic.LStatements.MakeMarkerStatement,0,7,1 153,0,0,3,0
mindustry.logic.LStatements.OperationStatement,0,8,1 157,0,0,2,0
mindustry.logic.LStatements.PackColorStatement,0,5,1 153,0,0,1,0
mindustry.logic.LStatements.PlaySoundStatement,0,7,1 153,0,0,2,0
mindustry.logic.LStatements.PrintCharStatement,0,6,1 153,0,0,2,0
mindustry.logic.LStatements.PrintFlushStatement,0,5,1 153,0,0,1,0
mindustry.logic.LStatements.PrintStatement,0,5,1 152,0,0,1,0
mindustry.logic.LStatements.RadarStatement,0,8,1 158,1,1,2,1
mindustry.logic.LStatements.ReadStatement,0,5,1 153,0,0,1,0
mindustry.logic.LStatements.SelectStatement,0,7,1 153,0,0,1,0
mindustry.logic.LStatements.SensorStatement,0,17,1 153,0,0,7,0
mindustry.logic.LStatements.SetBlockStatement,0,7,1 154,0,0,2,0
mindustry.logic.LStatements.SetFlagStatement,0,6,1 153,0,0,1,0
mindustry.logic.LStatements.SetMarkerStatement,0,9,1 153,0,0,3,0
mindustry.logic.LStatements.SetPropStatement,0,15,1 154,0,0,6,0
mindustry.logic.LStatements.SetRateStatement,0,5,1 153,0,0,1,0
mindustry.logic.LStatements.SetRuleStatement,0,7,1 154,0,0,2,0
mindustry.logic.LStatements.SetStatement,0,5,1 153,0,0,1,0
mindustry.logic.LStatements.SpawnUnitStatement,0,6,1 153,0,0,1,0
mindustry.logic.LStatements.SpawnWaveStatement,0,5,1 153,0,0,1,0
mindustry.logic.LStatements.StopStatement,0,5,1 153,0,0,1,0
mindustry.logic.LStatements.SyncStatement,0,5,1 153,0,0,1,0
mindustry.logic.LStatements.UnitBindStatement,0,11,1 153,0,0,6,0
mindustry.logic.LStatements.UnitControlStatement,0,12,1 153,0,0,5,0
mindustry.logic.LStatements.UnitLocateStatement,0,13,1 156,0,0,7,0
mindustry.logic.LStatements.UnitRadarStatement,0,5,1 159,0,0,1,0
mindustry.logic.LStatements.UnpackColorStatement,0,5,1 153,0,0,1,0
mindustry.logic.LStatements.WaitStatement,0,5,1 153,0,0,1,0
mindustry.logic.LStatements.WeatherSenseStatement,0,10,1 153,0,0,6,0
mindustry.logic.LStatements.WeatherSetStatement,0,10,1 153,0,0,6,0
mindustry.logic.LStatements.WriteStatement,0,5,1 153,0,0,1,0
mindustry.logic.LUnitControl,0,0,0,3,1 077,0,2
mindustry.logic.LVar,909,2,1 151,60,1 076,1,3
mindustry.logic.LogicDialog,909,22,1 151,3,1 076,10,3
mindustry.logic.LogicFx,909,3,1 151,2,1 076,3,2
mindustry.logic.LogicFx.EffectEntry,909,1,1 151,5,1 076,1,2
mindustry.logic.LogicOp,0,4,1 155,2,2,1,1
mindustry.logic.LogicRule,0,0,0,2,2,0,1
mindustry.logic.MessageType,0,0,0,2,2,0,1
mindustry.logic.RadarSort,0,1,1,2,3,1,1
mindustry.logic.RadarTarget,0,2,1 153,2,3,2,1
mindustry.logic.TileLayer,0,0,0,4,4,0,1
mindustry.maps.Map,909,15,1 151,36,1 076,11,14
mindustry.maps.MapException,909,1,1 151,2,1 076,1,2
mindustry.maps.MapPreviewLoader,909,9,1 151,3,1 076,6,2
mindustry.maps.MapPreviewLoader.MapPreviewParameter,909,1,1 151,2,1 076,1,1
mindustry.maps.Maps,909,40,1 151,19,1 076,12,8
mindustry.maps.Maps.ShuffleMode,909,5,1 151,2,1 076,3,2
mindustry.maps.SectorDamage,909,34,1 151,5,1 076,15,3
mindustry.maps.SectorSubmissions,909,6,1 151,2,1 076,4,2
mindustry.maps.SectorSubmissions.MapSubmission,0,0,0,1,1 077,0,1
mindustry.maps.filters.BlendFilter,909,8,1 151,1,1 076,3,1
mindustry.maps.filters.ClearFilter,909,6,1 151,1,1 076,3,1
mindustry.maps.filters.CoreSpawnFilter,909,9,1 151,1,1 076,6,1
mindustry.maps.filters.DistortFilter,909,6,1 151,1,1 076,2,1
mindustry.maps.filters.EnemySpawnFilter,909,7,1 151,1,1 076,3,1
mindustry.maps.filters.FilterOption,909,6,1 151,21,1 076,5,2
mindustry.maps.filters.FilterOption.BlockOption,909,9,1 151,8,1 076,7,1
mindustry.maps.filters.FilterOption.SliderOption,909,3,1 151,12,1 076,3,1
mindustry.maps.filters.FilterOption.ToggleOption,909,1,1 151,2,1 076,1,1
mindustry.maps.filters.GenerateFilter,909,10,1 151,22,1 076,6,5
mindustry.maps.filters.GenerateFilter.GenerateInput,909,3,1 151,19,1 076,2,3
mindustry.maps.filters.GenerateFilter.PackTileStruct,0,0,0,0,0,0,0
mindustry.maps.filters.LogicFilter,909,13,1 151,1,1 076,5,1
mindustry.maps.filters.MedianFilter,909,9,1 151,1,1 076,5,1
mindustry.maps.filters.MirrorFilter,909,8,1 151,1,1 076,3,1
mindustry.maps.filters.NoiseFilter,909,7,1 151,1,1 076,3,1
mindustry.maps.filters.OreFilter,909,8,1 151,1,1 076,4,1
mindustry.maps.filters.OreMedianFilter,909,10,1 151,1,1 076,6,1
mindustry.maps.filters.RandomItemFilter,0,9,1 152,0,0,4,0
mindustry.maps.filters.RiverNoiseFilter,909,7,1 151,1,1 076,3,1
mindustry.maps.filters.ScatterFilter,909,7,1 151,1,1 076,3,1
mindustry.maps.filters.SpawnPathFilter,909,17,1 151,1,1 076,9,1
mindustry.maps.filters.TerrainFilter,909,7,1 151,1,1 076,3,1
mindustry.maps.generators.BaseGenerator,909,33,1 151,1,1 076,14,1
mindustry.maps.generators.BasicGenerator,909,17,1 151,7,1 076,9,3
mindustry.maps.generators.BlankPlanetGenerator,909,6,1 151,1,1 076,4,1
mindustry.maps.generators.FileMapGenerator,909,25,1 151,6,1 076,12,6
mindustry.maps.generators.PlanetGenerator,909,30,1 151,13,1 076,12,8
mindustry.maps.planet.AsteroidGenerator,909,17,1 151,2,1 076,10,2
mindustry.maps.planet.ErekirPlanetGenerator,909,24,1 151,1,1 076,12,1
mindustry.maps.planet.SerpuloPlanetGenerator,909,33,1 151,1,1 076,13,1
mindustry.maps.planet.TantrosPlanetGenerator,909,12,1 151,1,1 076,8,1
mindustry.mod.ClassLoaderCloser,0,0,0,1,1 077,0,1
mindustry.mod.ClassMap,909,496,1 151,1,1 076,31,1
mindustry.mod.ContentParser,909,106,1 151,1,1 076,28,1
mindustry.mod.ContentParser.UnitReq,909,3,1 151,1,1 076,2,1
mindustry.mod.Mod,909,2,1 151,8,1 076,2,5
mindustry.mod.ModClassLoader,0,0,0,1,1 077,0,1
mindustry.mod.ModListing,0,0,0,1,1 077,0,1
mindustry.mod.Mods,909,39,1 151,24,1 076,10,13
mindustry.mod.Mods.LoadedMod,909,9,1 151,26,1 076,5,15
mindustry.mod.Mods.ModDependency,0,0,0,2,1 078,0,1
mindustry.mod.Mods.ModLoadException,0,0,0,1,1 077,0,1
mindustry.mod.Mods.ModMeta,909,1,1 151,9,1 076,1,6
mindustry.mod.Mods.ModResolutionContext,0,2,2,1,1 077,1,1
mindustry.mod.Mods.ModState,0,0,0,4,1 078,0,2
mindustry.mod.Plugin,909,1,1 151,1,1 076,1,1
mindustry.mod.Scripts,909,4,1 151,5,1 076,3,4
mindustry.mod.Scripts.ScriptModuleProvider,909,4,1 151,1,1 076,2,1
mindustry.net.Administration,909,12,1 151,14,1 076,4,8
mindustry.net.Administration.ActionType,0,0,0,4,1 077,0,3
mindustry.net.Administration.Config,909,2,1 151,7,1 076,2,3
mindustry.net.Administration.PlayerAction,909,5,1 151,4,1 076,4,3
mindustry.net.Administration.PlayerInfo,0,0,0,7,1 077,0,5
mindustry.net.Administration.TraceInfo,0,0,0,4,1 077,0,3
mindustry.net.ArcNetProvider,909,17,1 151,4,1 076,4,3
mindustry.net.ArcNetProvider.ArcConnection,909,6,1 151,1,1 076,1,1
mindustry.net.ArcNetProvider.PacketSerializer,909,4,1 151,3,1 076,1,2
mindustry.net.BeControl,909,11,1 151,2,1 076,7,2
mindustry.net.CrashHandler,0,7,1 152,3,3,4,3
mindustry.net.Host,909,2,1 151,9,1 076,2,5
mindustry.net.Net,909,17,1 151,86,1 076,5,32
mindustry.net.NetConnection,909,9,1 151,13,1 076,4,7
mindustry.net.NetworkIO,909,22,1 151,3,1 076,9,2
mindustry.net.Packet,909,1,1 151,10,1 076,1,2
mindustry.net.Packets,0,0,0,0,0,0,0
mindustry.net.Packets.AdminAction,0,0,0,5,1 078,0,4
mindustry.net.Packets.Connect,909,1,1 151,4,1 076,1,3
mindustry.net.Packets.ConnectPacket,909,4,1 151,5,1 076,3,4
mindustry.net.Packets.Disconnect,909,1,1 151,4,1 076,1,3
mindustry.net.Packets.KickReason,0,0,0,11,1 077,0,7
mindustry.net.Packets.StreamBegin,909,1,1 151,4,1 076,1,1
mindustry.net.Packets.StreamChunk,909,2,1 151,5,1 076,1,2
mindustry.net.Packets.WorldStream,909,1,1 151,3,1 076,1,2
mindustry.net.ServerGroup,0,1,1,2,1 077,0,2
mindustry.net.Streamable,909,1,1 151,6,1 076,1,2
mindustry.net.Streamable.StreamBuilder,909,3,1 151,1,1 076,1,1
mindustry.net.ValidateException,0,0,0,3,1 077,0,3
mindustry.net.WorldReloader,909,6,1 151,2,1 076,4,2
mindustry.service.Achievement,909,5,1 151,4,1 076,4,3
mindustry.service.GameService,909,74,1 151,4,1 076,18,3
mindustry.service.SStat,909,3,1 151,2,1 076,2,1
mindustry.type.Category,0,1,1,8,1 077,0,8
mindustry.type.CellLiquid,909,9,1 151,2,1 076,8,2
mindustry.type.ErrorContent,909,2,1 151,2,1 076,1,1
mindustry.type.Item,909,16,1 151,137,1 076,10,38
mindustry.type.ItemSeq,909,10,1 151,17,1 076,6,9
mindustry.type.ItemStack,909,4,1 151,64,1 076,3,26
mindustry.type.Liquid,909,16,1 151,77,1 076,8,30
mindustry.type.LiquidStack,909,4,1 151,16,1 076,3,9
mindustry.type.MapLocales,0,0,0,10,1 077,0,7
mindustry.type.PayloadSeq,909,6,1 151,5,1 076,4,4
mindustry.type.PayloadStack,909,4,1 151,11,1 076,2,6
mindustry.type.Planet,909,33,1 151,62,1 076,13,23
mindustry.type.Planet.PlanetData,0,0,0,3,1 077,0,2
mindustry.type.Sector,909,24,1 151,57,1 076,12,18
mindustry.type.Sector.SectorRect,0,0,0,5,1 077,0,5
mindustry.type.SectorPreset,909,11,1 151,31,1 076,5,17
mindustry.type.StatusEffect,909,16,1 151,26,1 076,9,21
mindustry.type.TeamEntry,909,4,1 151,3,1 076,2,2
mindustry.type.UnitType,909,76,1 151,98,1 076,25,32
mindustry.type.UnitType.UnitEngine,909,1,1 151,3,1 076,1,3
mindustry.type.Weapon,909,27,1 151,19,1 076,14,9
mindustry.type.Weather,909,16,1 151,21,1 076,10,10
mindustry.type.Weather.WeatherEntry,909,2,1 151,5,1 076,2,5
mindustry.type.Weather.WeatherStateComp,0,4,1 152,0,0,4,0
mindustry.type.ammo.ItemAmmoType,909,7,1 151,5,1 076,5,4
mindustry.type.ammo.PowerAmmoType,909,5,1 151,3,1 076,4,2
mindustry.type.unit.ErekirUnitType,909,5,1 151,3,1 076,5,3
mindustry.type.unit.MissileUnitType,909,5,1 151,1,1 076,5,1
mindustry.type.unit.NeoplasmUnitType,909,9,1 151,1,1 076,5,1
mindustry.type.unit.TankUnitType,909,3,1 151,1,1 076,3,1
mindustry.type.weapons.BuildWeapon,909,3,1 151,1,1 076,3,1
mindustry.type.weapons.MineWeapon,909,3,1 151,1,1 076,3,1
mindustry.type.weapons.PointDefenseBulletWeapon,909,2,1 151,1,1 076,2,1
mindustry.type.weapons.PointDefenseWeapon,909,8,1 151,1,1 076,8,1
mindustry.type.weapons.RepairBeamWeapon,909,15,1 151,2,1 076,11,2
mindustry.type.weapons.RepairBeamWeapon.HealBeamMount,909,2,1 151,2,1 076,2,2
mindustry.type.weather.MagneticStorm,909,1,1 151,1,1 076,1,1
mindustry.type.weather.ParticleWeather,909,2,1 151,3,1 076,2,2
mindustry.type.weather.RainWeather,909,5,1 151,1,1 076,3,1
mindustry.type.weather.SolarFlare,909,1,1 151,1,1 076,1,1
mindustry.ui.Bar,909,1,1 151,40,1 076,1,15
mindustry.ui.BorderImage,0,1,1,7,1 077,1,2
mindustry.ui.CoreItemsDisplay,909,7,1 151,1,1 076,6,1
mindustry.ui.Fonts,909,3,1 151,38,1 076,3,18
